זיהוי ממג מגרש *,מספר גוש *,מספר מגרש *,קוד ייעוד ראשי,תיאור ייעוד ראשי,שטח רשום,שטח גרפי,Shape_Length,Shape_Area,צורה *
39909,7407,2013,1008,תחבורה,28.12,27.66,25.602218,27.663903,Polygon
39910,6973,166,1001,מגורים,243,230.31,71.489978,230.314242,Polygon
39911,6973,176,1001,מגורים,267,260.39,82.416066,260.388685,Polygon
39912,6973,167,1001,מגורים,116,93.85,44.395262,93.851335,Polygon
39913,6625,1078,1008,תחבורה,125,142.06,61.477955,142.064097,Polygon
39914,6625,692,1006,שטחים פתוחים,9011,8899.2,364.69094,8899.19774,Polygon
39915,8986,9,1002,מסחר,128,136.84,49.480785,136.843688,Polygon
39916,8986,12,1002,מסחר,183,194.18,57.330046,194.183798,Polygon
39917,8986,30,1002,מסחר,181,167.53,56.89029,167.534639,Polygon
39918,8986,42,1008,תחבורה,906,908.5,192.198744,908.50059,Polygon
39919,6930,71,1008,תחבורה,333,318.14,92.143853,318.141488,Polygon
39920,6625,2309,1006,שטחים פתוחים,5310.23,5300.89,357.328803,5300.893206,Polygon
39921,6625,808,1001,מגורים,566,572.68,96.711923,572.680613,Polygon
39922,6625,788,1001,מגורים,561,547.18,93.947242,547.182062,Polygon
39923,6625,948,1008,תחבורה,592,616.33,207.277878,616.333308,Polygon
39924,6215,23,1001,מגורים,458,444.28,85.273133,444.284323,Polygon
39925,6215,135,1008,תחבורה,471,532.74,136.631832,532.736736,Polygon
39926,7109,38,1009,שטח לתכנון בעתיד,430,429.27,82.97035,429.266588,Polygon
39927,7109,92,1009,שטח לתכנון בעתיד,16,14.61,33.753788,14.609709,Polygon
39928,7016,107,1008,תחבורה,367,375.75,108.488225,375.750074,Polygon
39929,6948,2191,1002,מסחר,139.39,138.08,47.108906,138.082499,Polygon
39930,6948,231,1002,מסחר,390,425.91,86.186578,425.912676,Polygon
39931,6110,168,1001,מגורים,261,262.51,68.093678,262.511388,Polygon
39932,6110,195,1001,מגורים,261,260.64,67.965042,260.644299,Polygon
39933,6110,175,1001,מגורים,261,263.61,68.754192,263.609357,Polygon
39934,6110,158,1001,מגורים,261,259.7,68.126694,259.704412,Polygon
39935,6110,171,1001,מגורים,261,256.33,67.537295,256.334693,Polygon
39936,6110,184,1001,מגורים,261,267.61,69.125443,267.612783,Polygon
39937,6110,163,1001,מגורים,261,266.02,68.791184,266.024457,Polygon
39938,6130,2210,1006,שטחים פתוחים,2322.1,2329.58,543.99075,2329.579032,Polygon
39939,6977,2117,1008,תחבורה,298.7,299.86,71.31785,299.862484,Polygon
39940,6977,2150,1008,תחבורה,85.12,82.55,45.597416,82.545187,Polygon
39941,7072,2260,1008,תחבורה,410.31,420.08,171.556209,420.077673,Polygon
39942,6977,2255,1008,תחבורה,376.06,374.76,96.391695,374.759875,Polygon
39943,6933,139,1001,מגורים,554,529.48,95.783667,529.479879,Polygon
39944,6977,268,1008,תחבורה,356,355.48,136.302019,355.478272,Polygon
39945,6903,64,1001,מגורים,459,458.74,89.080341,458.735671,Polygon
39946,6625,1274,1001,מגורים,763,766.38,115.027781,766.383278,Polygon
39947,6959,69,1001,מגורים,324,322.83,76.84435,322.827513,Polygon
39948,6625,274,1008,תחבורה,667,685.55,180.581612,685.547442,Polygon
39949,6976,2055,1008,תחבורה,480.94,474.23,143.574238,474.227864,Polygon
